#QTL	Publication	TO	type	CO	Location
QGYLD4.5	Nagaraja Reddy et al 2013				4:6489509-6690679
QGYLD4.6	Shiringani et al 2010				4:7938411-12845583
QGYLD4.13	Sukumaran et al 2016				4:53496675-56004291
QGYLD4.14	Sukumaran et al 2016				4:53659829-55835018
QGYLD4.10	Phuong et al 2014_ NOTE RETRACTED				4:53673326-56205645
QGYLD4.11	Phuong et al 2014_ NOTE RETRACTED				4:55865318-57068036
QGYLD4.12	Phuong et al 2014_ NOTE RETRACTED				4:55931009-59250245
QGYLD4.7	Mocoeur et al 2015				4:60965264-63347669
QGYLD4.2	Witt Hmon et al 2014				4:62856520-62939107
QGYLD4.3	Witt Hmon et al 2014				4:62856520-62939107
QGYLD4.15	Sabadin et al 2012				4:63360212-68647279
QGYLD5.2	Phuong et al 2014_ NOTE RETRACTED			CO_324:0000199	5:819414-1852041
QGYLD5.3	Phuong et al 2013			CO_324:0000199	5:4095457-5594324
QGYLD5.4	Boyles et al 2016			CO_324:0000199	5:7195321-7365766
QGYLD5.1	Shiringani et al 2010			CO_324:0000199	5:11027244-52256021
QGYLD5.5	Gelli et al 2016			CO_324:0000199	5:65122552-69628610
QGYLD5.6	Gelli et al 2016			CO_324:0000199	5:65183488-69576985
QGYLD6.25	Gelli et al 2016			CO_324:0000199	6:3235259-27488988
QGYLD6.4	Nagaraja Reddy et al 2013			CO_324:0000199	6:3790430-14298172
QGYLD6.14	Phuong et al 2014_ NOTE RETRACTED			CO_324:0000199	6:3858298-38935130
QGYLD6.15	Phuong et al 2014_ NOTE RETRACTED			CO_324:0000199	6:3878344-38881535
QGYLD6.9	Mocoeur et al 2015			CO_324:0000199	6:3993946-45493860
QGYLD6.12	Rama Reddy et al 2014			CO_324:0000199	6:4096223-18295446
QGYLD6.13	Nagaraja Reddy et al 2013			CO_324:0000199	6:4096223-18295446
QGYLD6.26	Gelli et al 2016			CO_324:0000199	6:4376700-40470822
QGYLD6.27	Gelli et al 2016			CO_324:0000199	6:26040264-44968105
QGYLD6.21	Sukumaran et al 2016			CO_324:0000199	6:39346527-45061770
QGYLD6.10	Leiser et al 2014			CO_324:0000199	6:44044097-44932601
QGYLD6.11	Leiser et al 2014			CO_324:0000199	6:44044097-44932601
QGYLD6.22	Sabadin et al 2012			CO_324:0000199	6:45019205-46226410
QGYLD6.23	Sabadin et al 2012			CO_324:0000199	6:45445748-52738311
QGYLD6.1	Nagaraja Reddy et al 2013			CO_324:0000199	6:47148213-50916310
QGYLD6.16	Srinivas et al 2009			CO_324:0000199	6:47200543-48831504
QGYLD6.5	Srinivas et al 2009			CO_324:0000199	6:47210246-48931019
QGYLD6.19	Sukumaran et al 2016			CO_324:0000199	6:48153687-50932783
QGYLD6.3	Burks et al 2015			CO_324:0000199	6:48933486-49141940
QGYLD6.6	Nagaraja Reddy et al 2013			CO_324:0000199	6:49199462-50915423
QGYLD6.2	Nagaraja Reddy et al 2013			CO_324:0000199	6:50901413-52285112
QGYLD6.17	Boyles et al 2016			CO_324:0000199	6:51576711-51735401
QGYLD6.18	Boyles et al 2016			CO_324:0000199	6:51576711-51735401
QGYLD6.20	Sukumaran et al 2016			CO_324:0000199	6:52817376-53951352
QGYLD6.8	Zhang et al 2015			CO_324:0000199	6:53782718-53796165
QGYLD6.24	Gelli et al 2016			CO_324:0000199	6:54546291-56579045
QGYLD6.7	Shiringani et al 2010			CO_324:0000199	6:58481822-60284440
QGYLD7.18	Sukumaran et al 2016			CO_324:0000199	7:1865220-2724134
QGYLD7.1	Murray et al 2008b			CO_324:0000199	7:3201519-3960295
QGYLD7.7	Shiringani et al 2010			CO_324:0000199	7:3504888-6664085
QGYLD7.15	Phuong et al 2013			CO_324:0000199	7:3512085-6335950
QGYLD7.4	Shehzad and Okuno 2015			CO_324:0000199	7:7094972-58369033
QGYLD7.8	Nagaraja Reddy et al 2013			CO_324:0000199	7:8174559-55839598
QGYLD7.5	Shehzad and Okuno 2015			CO_324:0000199	7:8496204-57998387
QGYLD7.2	Nagaraja Reddy et al 2013			CO_324:0000199	7:9407515-55050741
QGYLD7.9	Zhang et al 2015			CO_324:0000199	7:39542246-39542510
QGYLD7.10	Zhang et al 2015			CO_324:0000199	7:51664584-57782938
QGYLD7.16	Rami et al 1998			CO_324:0000199	7:58089667-59228021
QGYLD7.11	Leiser et al 2014			CO_324:0000199	7:58996226-59131085
QGYLD7.12	Leiser et al 2014			CO_324:0000199	7:58996226-59131085
QGYLD7.6	Shehzad and Okuno 2015			CO_324:0000199	7:59547212-65000000
QGYLD7.17	Kapanigowda et al 2014			CO_324:0000199	7:61525364-63900768
QGYLD7.13	Leiser et al 2014			CO_324:0000199	7:61978936-62065134
QGYLD7.14	Leiser et al 2014			CO_324:0000199	7:61978936-62065134
QGYLD7.19	Sukumaran et al 2016			CO_324:0000199	7:62078933-63179782
QGYLD7.3	Nagaraja Reddy et al 2013			CO_324:0000199	7:63221926-65460255
QGYLD8.1	Rajkumar et al 2013			CO_324:0000199	8:636824-1529220
QGYLD8.8	Gelli et al 2016			CO_324:0000199	8:2213162-3012037
QGYLD8.3	Phuong et al 2013			CO_324:0000199	8:4499188-8052979
QGYLD8.7	Sabadin et al 2012			CO_324:0000199	8:5070472-57091699
QGYLD8.6	Boyles et al 2016			CO_324:0000199	8:54455435-55361407
QGYLD8.2	Shiringani et al 2010			CO_324:0000199	8:54530867-57503799
QGYLD8.4	Felderhoff et al 2012			CO_324:0000199	8:57522291-59858089
QGYLD8.5	Felderhoff et al 2012			CO_324:0000199	8:59292137-60606148
QGYLD9.1	Nagaraja Reddy et al 2013			CO_324:0000199	9:6039468-8157853
QGYLD9.5	Rama Reddy et al 2014			CO_324:0000199	9:6835291-8157862
QGYLD9.6	Nagaraja Reddy et al 2013			CO_324:0000199	9:6835291-8157862
QGYLD9.12	Gelli et al 2016			CO_324:0000199	9:50486611-52178758
QGYLD9.4	Zhang et al 2015			CO_324:0000199	9:52901785-58705053
QGYLD9.11	Sabadin et al 2012			CO_324:0000199	9:53867428-57955501
QGYLD9.7	Rama Reddy et al 2014			CO_324:0000199	9:57084054-57947316
QGYLD9.8	Nagaraja Reddy et al 2013			CO_324:0000199	9:57084054-57947316
QGYLD9.2	Nagaraja Reddy et al 2013			CO_324:0000199	9:57099213-57940854
QGYLD9.3	Nagaraja Reddy et al 2013			CO_324:0000199	9:57940450-59398238
QGYLD9.9	Rama Reddy et al 2014			CO_324:0000199	9:57953142-59398238
QGYLD9.10	Nagaraja Reddy et al 2013			CO_324:0000199	9:57953142-59398238
QGYLD10.13	Sabadin et al 2012			CO_324:0000199	10:1152369-1465323
QGYLD10.6	Kapanigowda et al 2014			CO_324:0000199	10:1399382-3370613
QGYLD10.7	Rami et al 1998			CO_324:0000199	10:1701811-7337507
QGYLD10.1	Nagaraja Reddy et al 2013			CO_324:0000199	10:8979624-45755154
QGYLD10.8	Feltus et al 2006			CO_324:0000199	10:9371364-48613315
QGYLD10.2	Murray et al 2008b			CO_324:0000199	10:13657806-51762056
QGYLD10.11	Murray et al 2008b			CO_324:0000199	10:13657806-51762056
QGYLD10.12	Murray et al 2008b			CO_324:0000199	10:13657806-51762056
QGYLD10.10	Murray et al 2008a			CO_324:0000199	10:41745111-51053155
QGYLD10.9	Ritter et al 2008			CO_324:0000199	10:45639975-50277565
QGYLD10.5	Leiser et al 2014			CO_324:0000199	10:50274265-50278057
QGYLD10.3	Nagaraja Reddy et al 2013			CO_324:0000199	10:50611014-54568678
QGYLD10.4	Mocoeur et al 2015			CO_324:0000199	10:51767889-56474416
QGRBR1.3	Wu & Huang 2008			CO_324:0000065	1:58558475-80878678
QGRBR1.1	Nagaraj et al 2005			CO_324:0000065	1:59033671-60963749
QGRBR1.2	Nagaraj et al 2005			CO_324:0000065	1:65213026-67773055
QGRBR2.1	Agrama et al 2002			CO_324:0000065	2:58636611-59098780
QGRBR3.1	Katsar et al 2002			CO_324:0000065	3:0-6105673
QGRBR3.2	Wu & Huang 2008			CO_324:0000065	3:0-55528769
QGRBR3.4	Punnuri et al 2013			CO_324:0000065	3:58313182-74384257
QGRBR3.3	Punnuri et al 2013			CO_324:0000065	3:60907577-74384257
QGRBR4.1	Nagaraj et al 2005				4:11677591-51114740
QGRBR4.2	Nagaraj et al 2005				4:51581889-53628904
QGRBR4.3	Agrama et al 2002				4:52931326-55266349
QGRBR4.4	Katsar et al 2002				4:53753659-63237670
QGRBR5.1	Katsar et al 2002			CO_324:0000065	5:10868515-52314406
QGRBR6.1	Katsar et al 2002			CO_324:0000065	6:45646102-47052649
QGRBR7.2	Katsar et al 2002			CO_324:0000065	7:59534614-63789201
QGRBR7.1	Agrama et al 2002			CO_324:0000065	7:59536733-63165496
QGRBR9.1	Punnuri et al 2013			CO_324:0000065	9:396098-1184199
QGRBR9.2	Punnuri et al 2013			CO_324:0000065	9:396102-1180690
QGRBR9.3	Wu & Huang 2008			CO_324:0000065	9:984138-1157910
QGRBR9.4	Wu et al 2007			CO_324:0000065	9:1011062-1144808
QGRBR9.5	Punnuri et al 2013			CO_324:0000065	9:1081194-1260162
QGRBR9.15	Punnuri & Huang 2017			CO_324:0000065	9:1096791-1348901
QGRBR9.14	Punnuri & Huang 2017			CO_324:0000065	9:1108633-1337059
QGRBR9.8	Punnuri et al 2013			CO_324:0000065	9:1165407-1275498
QGRBR9.7	Punnuri et al 2013			CO_324:0000065	9:1167296-1273608
QGRBR9.6	Punnuri et al 2013			CO_324:0000065	9:1177231-1263674
QGRBR9.12	Punnuri & Huang 2017			CO_324:0000065	9:1235415-1456869
QGRBR9.13	Punnuri & Huang 2017			CO_324:0000065	9:1246229-1448970
QGRBR9.9	Punnuri et al 2013			CO_324:0000065	9:1256487-1437038
QGRBR9.10	Wu & Huang 2008			CO_324:0000065	9:2920070-8157836
QGRBR9.11	Agrama et al 2002			CO_324:0000065	9:7987999-48089699
QGRBR10.1	Agrama et al 2002			CO_324:0000065	10:479900-1180655
QGRBR10.2	Katsar et al 2002			CO_324:0000065	10:7615108-49449866
QGLFA1.1	Hausmann et al 2002				1:6847517-8778399
QGLFA1.2	Hausmann et al 2002				1:6978219-7567454
QGLFA1.3	Hausmann et al 2002				1:7283856-7490193
QGLFA1.4	Rama Reddy et al 2014				1:10972298-13237411
QGLFA1.6	Hausmann et al 2002				1:20208715-52884722
QGLFA1.5	Hausmann et al 2002				1:21159533-52482534
QGLFA1.8	Rama Reddy et al 2014				1:53825509-58783454
QGLFA1.7	Hausmann et al 2002				1:53830683-58619729
QGLFA1.10	Srinivas et al 2009				1:61841612-64909258
QGLFA1.9	Srinivas et al 2009				1:62305338-64752362
QGLFA1.11	Srinivas et al 2009				1:69362042-73255854
QGLFA1.12	Hausmann et al 2002				1:74112120-75447558
QGLFA1.13	Hausmann et al 2002				1:74112120-75447558
QGLFA1.14	Hausmann et al 2002				1:74136272-75421998
QGLFA2.1	Rama Reddy et al 2014				2:1212467-2101321
QGLFA2.11	Sabadin et al 2012				2:10017591-57046563
QGLFA2.2	Rama Reddy et al 2014				2:47540401-57021411
QGLFA2.4	Hausmann et al 2002				2:61940334-64960891
QGLFA2.3	Hausmann et al 2002				2:62009789-64801986
QGLFA2.5	Hausmann et al 2002				2:62240018-63551291
QGLFA2.6	Rama Reddy et al 2014				2:68963330-70992073
QGLFA2.7	Rama Reddy et al 2014				2:69548690-71107385
QGLFA2.8	Rama Reddy et al 2014				2:70265678-71126925
QGLFA2.9	Rama Reddy et al 2014				2:70278684-71230975
QGLFA2.10	Rama Reddy et al 2014				2:71034477-72013055
QGLFA3.12	Sabadin et al 2012				3:1909356-2963984
QGLFA3.2	Rama Reddy et al 2014				3:16749890-53832673
QGLFA3.1	Rama Reddy et al 2014				3:48255197-51403423
QGLFA3.3	Rama Reddy et al 2014				3:51390526-55538940
QGLFA3.5	Rama Reddy et al 2014				3:53884338-55533369
QGLFA3.4	Rama Reddy et al 2014				3:54220793-55419201
QGLFA3.7	Srinivas et al 2009				3:56139103-58252437
QGLFA3.6	Srinivas et al 2009				3:56687702-58217430
QGLFA3.8	Hausmann et al 2002				3:57552879-58825176
QGLFA3.9	Rama Reddy et al 2014				3:58760661-61180923
QGLFA3.10	Hausmann et al 2002				3:65669725-67659502
QGLFA3.11	Hausmann et al 2002				3:66127934-66958933
QGLFA4.1	Srinivas et al 2009				4:71001-1548102
QGLFA4.2	Hausmann et al 2002				4:51590553-55841684
QGLFA4.3	Hausmann et al 2002				4:51733896-55835773
QGLFA4.4	Hausmann et al 2002				4:51947469-55793654
QGLFA4.6	Sabadin et al 2012				4:55937718-60631221
QGLFA4.5	Rama Reddy et al 2014				4:65732604-67470446
QGLFA5.2	Sabadin et al 2012				5:8126361-11043177
QGLFA5.1	Srinivas et al 2009				5:64297762-64972211
QGLFA6.2	Sabadin et al 2012				6:2490610-52124181
QGLFA6.1	Srinivas et al 2009				6:46558064-50652065
QGLFA7.1	Rama Reddy et al 2014				7:1276258-1447328
QGLFA7.2	Rama Reddy et al 2014				7:3038797-3537272
QGLFA7.5	Hausmann et al 2002				7:4498544-6927568
QGLFA7.4	Hausmann et al 2002				7:4546457-6910905
QGLFA7.3	Hausmann et al 2002				7:4554376-6908151
QGLFA7.6	Hausmann et al 2002				7:6834481-54672545
QGLFA7.9	Hausmann et al 2002				7:62077389-65460255
QGLFA7.7	Hausmann et al 2002				7:62096530-65460255
QGLFA7.8	Hausmann et al 2002				7:62168522-65460255
QGLFA7.10	Rama Reddy et al 2014				7:63454788-65460255
QGLFA8.2	Hausmann et al 2002				8:4736775-8051887
QGLFA8.1	Hausmann et al 2002				8:4750685-8051163
QGLFA8.5	Sabadin et al 2012				8:6073176-55425471
QGLFA8.4	Hausmann et al 2002				8:59491925-62671469
QGLFA8.3	Hausmann et al 2002				8:59667987-61206277
QGLFA9.1	Srinivas et al 2009				9:2955503-5194823
QGLFA9.6	Sabadin et al 2012				9:55713786-57908267
QGLFA9.2	Rama Reddy et al 2014				9:57141239-57982567
QGLFA9.3	Rama Reddy et al 2014				9:57983063-59398238
QGLFA9.4	Rama Reddy et al 2014				9:57994883-59398238
QGLFA9.5	Rama Reddy et al 2014				9:58009488-59398238
QGLFA10.1	Rama Reddy et al 2014				10:0-1154689
QGLFA10.2	Hausmann et al 2002				10:41745111-52246823
QGLFA10.3	Hausmann et al 2002				10:45658506-51995783
QGLFA10.4	Hausmann et al 2002				10:56181952-58110909
QGLFA10.5	Hausmann et al 2002				10:56209299-58051597
QGLFA10.7	Hausmann et al 2002				10:56675202-60429236
QGLFA10.6	Hausmann et al 2002				10:56682566-60144628
QGLFA10.8	Hausmann et al 2002				10:56722068-58821029
QHBGR1.1	Deu et al 2005			CO_324:0000065	1:6968229-14612543
QHBGR1.2	Deu et al 2005			CO_324:0000065	1:6979172-14476290
QHBGR1.3	Deu et al 2005			CO_324:0000065	1:54467165-60968904
QHBGR2.1	Deu et al 2005			CO_324:0000065	2:12651474-56377052
QHBGR3.1	Deu et al 2005			CO_324:0000065	3:66996817-74384257
QHBGR3.2	Deu et al 2005			CO_324:0000065	3:68370195-74384257
QHBGR4.1	Deu et al 2005				4:8713123-48569092
QHBGR8.1	Deu et al 2005			CO_324:0000065	8:362814-4164206
QHBGR9.1	Deu et al 2005			CO_324:0000065	9:1655003-2316883
QHDEX1.1	Mantilla Perez et al 2014				1:14517437-14642469
QHDEX1.2	Felderhoff et al 2012				1:24077469-57258761
QHDEX1.3	Felderhoff et al 2012				1:24375132-54922889
QHDEX1.4	Mantilla Perez et al 2014				1:59058324-59180820
QHDEX1.5	Mantilla Perez et al 2014				1:59059403-59183109
QHDEX1.9	Zhao et al 2016				1:61651371-62278305
QHDEX1.6	Sakhi et al 2013				1:68070017-69423185
QHDEX1.7	Sakhi et al 2013				1:68070017-69423185
QHDEX1.10	Zhao et al 2016				1:72013592-72247251
QHDEX1.8	Felderhoff et al 2012				1:77174548-80878678
QHDEX2.4	Zhao et al 2016				2:59562520-59823108
QHDEX2.1	Mantilla Perez et al 2014				2:61966561-62027379
QHDEX2.2	Mantilla Perez et al 2014				2:68913915-69206569
QHDEX2.3	Mantilla Perez et al 2014				2:68915767-69211625
QHDEX3.3	Zhao et al 2016				3:2482720-2805357
QHDEX3.1	Feltus et al 2006				3:58286293-59104481
QHDEX3.4	Zhao et al 2016				3:59085273-59161338
QHDEX3.2	Mantilla Perez et al 2014				3:67076486-67670652
QHDEX4.1	Felderhoff et al 2012				4:10938330-49414551
QHDEX4.2	Felderhoff et al 2012				4:12475470-50437797
QHDEX4.3	Felderhoff et al 2012				4:40678764-52879157
QHDEX4.4	Felderhoff et al 2012				4:40771039-52874057
QHDEX4.5	Felderhoff et al 2012				4:49157360-52934528
QHDEX5.1	Mantilla Perez et al 2014				5:1043627-1187254
QHDEX5.2	Mantilla Perez et al 2014				5:2657914-2752353
QHDEX6.1	Felderhoff et al 2012				6:478117-1684108
QHDEX6.2	Zhao et al 2016				6:49666338-50446928
QHDEX6.3	Zhao et al 2016				6:50937092-50945103
QHDEX6.4	Zhao et al 2016				6:59894746-59979104
QHDEX7.2	Zhao et al 2016				7:55835181-57700293
QHDEX7.3	Zhao et al 2016				7:59535234-59538709
QHDEX7.1	Felderhoff et al 2012				7:59535743-62235515
QHDEX8.1	Felderhoff et al 2012				8:54368428-59247515
QHDEX8.2	Mantilla Perez et al 2014				8:60532380-60646957
QHDEX9.1	Felderhoff et al 2012				9:48274314-51816660
QHDEX9.2	Zhao et al 2016				9:57938294-57948149
QHDEX9.3	Zhao et al 2016				9:57951888-57961743
QHDEX10.1	Sakhi et al 2013				10:12114153-13761382
QHDEX10.2	Sakhi et al 2013				10:12114153-13761382
QHDEX10.3	Zhao et al 2016				10:41745111-45820776
QHDEX10.4	Zhao et al 2016				10:55846611-55944885
QHGHT1.20	Parh 2005			CO_324:0000625	1:77906780-80878678
QHGHT5.7	Zhang et al 2015			CO_324:0000625	5:10987116-11127884
QHGHT5.8	Zhang et al 2015			CO_324:0000625	5:52492430-52967943
QHGHT6.74	Zhang et al 2015			CO_324:0000625	6:4307792-39494908
QHGHT6.75	Zhang et al 2015			CO_324:0000625	6:4307792-39494908
QHGHT6.76	Zhang et al 2015			CO_324:0000625	6:40606494-47854118
QHGHT6.77	Zhang et al 2015			CO_324:0000625	6:40606494-47854118
QHGHT7.9	Parh 2005			CO_324:0000625	7:7984338-55393154
QHGHT7.59	Zhang et al 2015			CO_324:0000625	7:57800124-61308327
QHGHT7.60	Zhang et al 2015			CO_324:0000625	7:57800124-61308327
QHGHT7.58	Parh 2005			CO_324:0000625	7:62251233-64417344
QHGHT9.62	Zhang et al 2015			CO_324:0000625	9:53838641-59193962
QHGHT9.63	Zhang et al 2015			CO_324:0000625	9:53838641-59193962
QHGHT1.2	Kebede et al 2001			CO_324:0000088	1:4862819-7562505
QHGHT1.27	Bouchet et al 2017			CO_324:0000088	1:8969025-10231643
QHGHT1.3	Higgins et al 2014			CO_324:0000088	1:12440782-12574938
QHGHT1.4	Higgins et al 2014			CO_324:0000088	1:12440782-12574938
QHGHT1.6	Nagaraja Reddy et al 2013			CO_324:0000088	1:24078773-53916420
QHGHT1.5	Hart et al 2001			CO_324:0000088	1:24186681-52681319
QHGHT1.7	Upadhyaya et al 2013b			CO_324:0000088	1:53201472-53762081
QHGHT1.8	Guan et al 2011			CO_324:0000088	1:54541207-58709704
QHGHT1.22	Burks et al 2015			CO_324:0000088	1:55443908-57260691
QHGHT1.1	Mocoeur et al 2015			CO_324:0000088	1:60761235-63338491
QHGHT1.9	Ritter et al 2008			CO_324:0000088	1:62300652-63488948
QHGHT1.28	Bouchet et al 2017			CO_324:0000088	1:62346177-63163769
QHGHT1.23	Wang et al 2016			CO_324:0000088	1:63156348-64948356
QHGHT1.10	Sakhi et al 2013			CO_324:0000088	1:65810643-66259704
QHGHT1.11	Sakhi et al 2013			CO_324:0000088	1:65810643-66259704
QHGHT1.29	Boyles et al 2017			CO_324:0000088	1:67800819-71268120
QHGHT1.12	Shiringani et al 2010			CO_324:0000088	1:67845190-70448561
QHGHT1.24	Wang et al 2016			CO_324:0000088	1:68010881-72248842
QHGHT1.25	Wang et al 2016			CO_324:0000088	1:68050538-72016423
QHGHT1.13	Rami et al 1998			CO_324:0000088	1:69552100-71436960
QHGHT1.26	Wang et al 2016			CO_324:0000088	1:69750253-71398896
QHGHT1.21	Mocoeur et al 2015			CO_324:0000088	1:69892099-74204679
QHGHT1.15	Feltus et al 2006			CO_324:0000088	1:69944222-72244293
QHGHT1.14	Hart et al 2001			CO_324:0000088	1:70051648-71848220
QHGHT1.17	Wang et al 2014a			CO_324:0000088	1:74818452-78396425
QHGHT1.16	Kebede et al 2001			CO_324:0000088	1:75100899-75610212
QHGHT1.18	Lin et al 1995			CO_324:0000088	1:75434106-80878678
QHGHT1.19	Parh 2005			CO_324:0000088	1:77677015-80878678
QHGHT2.9	Bouchet et al 2017			CO_324:0000088	2:1212467-1328598
QHGHT2.6	Bouchet et al 2017			CO_324:0000088	2:20403133-48551270
QHGHT2.7	Bouchet et al 2017			CO_324:0000088	2:59553889-59820305
QHGHT2.1	Shiringani et al 2010			CO_324:0000088	2:61694064-62349440
QHGHT2.2	Mantilla Perez et al 2014			CO_324:0000088	2:61967503-62028321
QHGHT2.3	Wang et al 2012			CO_324:0000088	2:65325908-65679315
QHGHT2.4	Wang et al 2012			CO_324:0000088	2:65325908-65679315
QHGHT2.8	Bouchet et al 2017			CO_324:0000088	2:66467661-67569058
QHGHT2.5	Rami et al 1998			CO_324:0000088	2:70281793-71271489
QHGHT3.1	Nagaraja Reddy et al 2013			CO_324:0000088	3:0-1944223
QHGHT3.2	Brown et al 2006			CO_324:0000088	3:0-2414897
QHGHT3.3	Feltus et al 2006			CO_324:0000088	3:1933237-4813552
QHGHT3.5	Hart et al 2001			CO_324:0000088	3:2977479-6134556
QHGHT3.4	Phuong et al 2013			CO_324:0000088	3:3030648-6095949
QHGHT3.6	Phuong et al 2013			CO_324:0000088	3:10930634-11217098
QHGHT3.7	Phuong et al 2013			CO_324:0000088	3:10981234-11835426
QHGHT3.8	Shiringani et al 2010			CO_324:0000088	3:11186989-16226614
QHGHT3.9	Shiringani et al 2010			CO_324:0000088	3:54694928-55637718
QHGHT3.10	Ritter et al 2008			CO_324:0000088	3:57345229-57756253
QHGHT3.11	Lin et al 1995			CO_324:0000088	3:58295561-62553856
QHGHT3.17	Bai et al 2017			CO_324:0000088	3:58852769-62427436
QHGHT3.14	Phuong et al 2013			CO_324:0000088	3:60567650-63587224
QHGHT3.15	Wang et al 2014a			CO_324:0000088	3:60944106-65311221
QHGHT3.12	Wang et al 2014a			CO_324:0000088	3:61027324-61443413
QHGHT3.13	Wang et al 2014a			CO_324:0000088	3:61027324-61443413
QHGHT3.21	Harris-Shultz et al 2015			CO_324:0000088	3:65382012-69143846
QHGHT3.18	Bai et al 2017			CO_324:0000088	3:65416545-69211928
QHGHT3.20	Harris-Shultz et al 2015			CO_324:0000088	3:67037126-67647534
QHGHT3.19	Bouchet et al 2017			CO_324:0000088	3:69596756-69798756
QHGHT3.16	Nagaraja Reddy et al 2013			CO_324:0000088	3:69933510-72862046
QHGHT4.2	Madhusudhana and Patil 2013				4:2655500-4670409
QHGHT4.6	Felderhoff et al 2012				4:4631797-7355684
QHGHT4.5	Felderhoff et al 2012				4:6440072-6705702
QHGHT4.3	Higgins et al 2014				4:6536334-6559540
QHGHT4.4	Higgins et al 2014				4:6536334-6559540
QHGHT4.19	Bouchet et al 2017				4:7130950-7299969
QHGHT4.7	Wang et al 2014a				4:7600729-7978358
QHGHT4.8	Wang et al 2014a				4:7600729-7978358
QHGHT4.9	Wang et al 2014a				4:8893914-10023005
QHGHT4.1	Mocoeur et al 2015				4:10150746-51097958
QHGHT4.10	Klein et al 2001				4:13362712-50084108
QHGHT4.11	Shiringani et al 2010				4:40527714-50615790
QHGHT4.18	Bouchet et al 2017				4:41692886-45157832
QHGHT4.20	Bouchet et al 2017				4:49564880-49952466
QHGHT4.12	Phuong et al 2013				4:51547982-53486830
QHGHT4.15	Zhang et al 2015				4:52737876-53406976
QHGHT4.16	Mocoeur et al 2015				4:53628830-61766744
QHGHT4.13	Nagaraja Reddy et al 2013				4:55962847-61572196
QHGHT4.14	Shiringani et al 2010				4:61584928-62136015
QHGHT4.17	Bouchet et al 2017				4:61903404-61937534
QHGHT5.1	Mantilla Perez et al 2014			CO_324:0000088	5:1043559-1187186
QHGHT5.2	Mantilla Perez et al 2014			CO_324:0000088	5:1044889-1188516
QHGHT5.3	Phuong et al 2013			CO_324:0000088	5:1245237-2002798
QHGHT5.10	Bouchet et al 2017			CO_324:0000088	5:1283034-1426661
QHGHT5.4	Wang et al 2014a			CO_324:0000088	5:6050109-7705679
QHGHT5.5	Nagaraja Reddy et al 2013			CO_324:0000088	5:6359430-51575227
QHGHT5.6	Shiringani et al 2010			CO_324:0000088	5:11107972-52515528
QHGHT5.11	Bouchet et al 2017			CO_324:0000088	5:62337310-62913651
QHGHT5.9	Bouchet et al 2017			CO_324:0000088	5:67851150-68385071
QHGHT6.1	Takai et al 2012			CO_324:0000088	6:0-588689
QHGHT6.2	Kapanigowda et al 2014			CO_324:0000088	6:0-1474922
QHGHT6.3	Wang et al 2014a			CO_324:0000088	6:1799691-2589025
QHGHT6.4	Takai et al 2012			CO_324:0000088	6:2372572-3688256
QHGHT6.5	Brown et al 2006			CO_324:0000088	6:3153035-14654536
QHGHT6.6	Feltus et al 2006			CO_324:0000088	6:3472068-20655330
QHGHT6.14	Felderhoff et al 2012			CO_324:0000088	6:4224132-44947718
QHGHT6.84	Bai et al 2017			CO_324:0000088	6:4264655-45067310
QHGHT6.79	Zhang et al 2015			CO_324:0000088	6:4307792-39494908
QHGHT6.87	Bouchet et al 2017			CO_324:0000088	6:4382639-5864933
QHGHT6.9	Nagaraja Reddy et al 2013			CO_324:0000088	6:4383582-21321994
QHGHT6.7	Wang et al 2012			CO_324:0000088	6:4424055-7760215
QHGHT6.8	Wang et al 2012			CO_324:0000088	6:4424055-7760215
QHGHT6.10	Higgins et al 2014			CO_324:0000088	6:17619179-21801773
QHGHT6.89	Yamaguchi et al 2016			CO_324:0000088	6:22445901-43378078
QHGHT6.12	Lin et al 1995			CO_324:0000088	6:24072026-38838096
QHGHT6.11	Higgins et al 2014			CO_324:0000088	6:24629142-28811735
QHGHT6.83	Zhao et al 2016			CO_324:0000088	6:27834658-38482472
QHGHT6.91	Gelli et al 2016			CO_324:0000088	6:39296212-43944566
QHGHT6.15	Higgins et al 2014			CO_324:0000088	6:39541646-40039487
QHGHT6.16	Higgins et al 2014			CO_324:0000088	6:39546321-40044162
QHGHT6.18	Ritter et al 2008			CO_324:0000088	6:39611012-42122635
QHGHT6.22	Zou et al 2012			CO_324:0000088	6:39661770-43305946
QHGHT6.25	Zou et al 2012			CO_324:0000088	6:39721670-43724638
QHGHT6.17	Higgins et al 2014			CO_324:0000088	6:39835707-40333547
QHGHT6.20	Feltus et al 2006			CO_324:0000088	6:40337939-42465701
QHGHT6.73	Burrell et al 2015			CO_324:0000088	6:40348730-43578364
QHGHT6.78	Burrell et al 2015			CO_324:0000088	6:40348730-43578364
QHGHT6.19	Higgins et al 2014			CO_324:0000088	6:40405204-41686861
QHGHT6.81	Zhang et al 2015			CO_324:0000088	6:40606494-47854118
QHGHT6.82	Zhao et al 2016			CO_324:0000088	6:40661071-42013476
QHGHT6.21	Upadhyaya et al 2012b			CO_324:0000088	6:41649521-42285016
QHGHT6.23	Higgins et al 2014			CO_324:0000088	6:41831804-42467299
QHGHT6.24	Higgins et al 2014			CO_324:0000088	6:41928794-42545634
QHGHT6.47	Felderhoff et al 2012			CO_324:0000088	6:42202457-46264575
